Date,Open,High,Low,Close,Volume,MarketCap,btc_hash_rate,btc_difficulty,btc_n_transactions,btc_miners_revenue,Return,HL_Range,MA7,MA14,MA30,Volatility7,VolumeChange,Close_lag1,Close_lag2,RSI14,MACD,NextClose,Direction
2013-12-28,737.98,747.06,705.35,727.83,32505800.0,8990850000,9627.4577135,1180923195.26,47777.0,2884318.71,-0.009849402097759419,0.057307338252064244,694.7514285714286,683.7935714285713,827.6806666666668,0.056261871714975625,-0.3063609224393814,735.07,761.98,41.15778801167805,-22.58130742776791,745.05,1.0
2013-12-30,741.35,766.6,740.24,756.13,20707700.0,9037000000,11388.5780269,1180923195.26,56501.0,3594982.4,0.014871485135225848,0.03486173012577204,724.8357142857143,678.0142857142856,802.3399999999999,0.04894332272160673,0.08923114147901501,745.05,727.83,53.72515818554496,-14.040093338204429,754.01,0.0
2014-01-01,754.97,775.35,754.97,771.4,22489400.0,9203030000,11740.8020896,1180923195.26,41476.0,3741222.1,0.02306335459741904,0.026419497018408084,750.21,700.9135714285713,786.5476666666667,0.048135864179807156,0.07618687581649297,754.01,756.13,74.4062806673209,-6.448268097601158,802.39,1.0
2014-01-03,802.85,834.15,789.12,818.72,37810100.0,9786680000,11493.6340976,1418481395.26,63821.0,3296592.69,0.02035169929834635,0.055000488567519996,767.9328571428571,722.6157142857144,766.2696666666667,0.016999959291679793,-0.017651567310565164,802.39,771.4,80.13212015455565,5.243500785474907,859.51,1.0
2014-01-05,858.55,952.4,854.52,933.53,72898500.0,10465700000,12692.3566722,1418481395.26,55761.0,4043648.0,0.08611883515025998,0.10484933531862929,813.67,763.3442857142857,763.5523333333333,0.02894033682169698,0.9181291935271674,859.51,818.72,89.09899888765297,24.899369373079935,953.29,1.0
2014-01-07,946.49,965.74,802.0,802.0,81311700.0,11571400000,13185.9483205,1418481395.26,62126.0,4068012.2,-0.15870301796934827,0.2041645885286783,848.6914285714284,793.08,772.2586666666667,0.07866910198831957,-0.0497161830032361,953.29,933.53,63.3342456112914,31.306731732372555,842.72,1.0
2014-01-09,841.47,864.36,804.14,846.86,59998600.0,10295100000,12762.8697648,1418481395.26,58365.0,3671204.29,0.004912663755458402,0.07110974659329762,865.232857142857,810.6078571428571,765.8546666666666,0.07932834215195968,-0.1911275405928634,842.72,802.0,59.22608695652174,30.602257041530038,868.48,1.0
2014-01-11,867.32,921.48,861.72,913.95,44754200.0,10619900000,14596.210173,1418481395.26,56464.0,4626025.95,0.052355840088430305,0.06538650910881338,880.1185714285714,833.4314285714287,766.8776666666666,0.07966795008511343,0.4039740500928575,868.48,846.86,68.87856534263805,35.8720901951059,863.22,0.0
2014-01-13,860.19,861.29,806.05,841.2,45580900.0,10541500000,18058.6488747,1789546951.05,54756.0,4109431.21,-0.02550914019601025,0.06566809320019021,854.0614285714286,847.9485714285714,764.8523333333334,0.07450239563345581,0.15035017098439063,863.22,913.95,57.91510820819145,31.567339567961653,833.27,0.0
2014-01-15,833.12,872.81,830.86,860.9,28107200.0,10216700000,15211.9653082,1789546951.05,60392.0,3640023.8,0.03315852004752351,0.04872807527006613,861.1257142857143,860.0028571428572,768.5883333333333,0.03706763292994626,0.34937445390738264,833.27,841.2,58.08579069095114,27.352713344951667,835.63,0.0
2014-01-17,834.49,842.91,797.63,814.64,39031700.0,10241200000,13610.7058021,1789546951.05,58397.0,3044327.0,-0.025118772662542033,0.05558283413532355,851.83,862.0857142857143,783.4366666666666,0.03796853885105677,1.0382833837268204,835.63,860.9,49.63068901842934,20.137537387507223,840.0,1.0
2014-01-19,839.66,870.96,825.53,870.96,24365700.0,10311500000,16368.4305071,1789546951.05,49224.0,3841796.0,0.03685714285714292,0.05216083402222842,842.3714285714286,856.2228571428572,796.5593333333333,0.030658022516463036,0.3496983830673528,840.0,814.64,43.66559355322036,19.635490907201188,870.2,0.0
2014-01-21,869.65,881.2,855.93,863.91,18997300.0,10687700000,15300.9241697,1789546951.05,71521.0,3550168.96,-0.007228223396920308,0.02925073213644951,850.8914285714285,854.71,813.6016666666667,0.028166277619591756,-0.3130037934812876,870.2,870.96,59.383430840583216,19.857486542935362,845.59,0.0
2014-01-23,845.46,851.57,819.32,822.04,15607100.0,10398000000,15834.6773384,1789546951.05,63527.0,3630947.32,-0.02785037666008361,0.03923166755875627,846.7628571428571,853.1421428571429,824.5563333333333,0.026481677651948966,-0.15425632799926303,845.59,863.91,46.20373202814316,14.327631485996562,797.07,0.0
2014-01-25,796.24,861.45,792.96,853.61,24303900.0,9799920000,16903.7992187,2193847870.17,55371.0,3132922.0,0.07093479870023955,0.08023570483007464,846.1971428571429,843.7314285714285,831.4393333333334,0.03771070625336351,-0.3038525435380385,797.07,822.04,41.16078753076291,9.861302275526896,885.28,1.0
2014-01-27,884.6,893.0,757.11,771.39,49233600.0,10894400000,17558.1398336,2193847870.17,60746.0,3136749.0,-0.1286485631664558,0.17616251182929515,834.1271428571428,840.3207142857143,837.8983333333332,0.06260330775145828,0.5278407909558935,885.28,853.61,41.571487214159795,5.645573770878286,812.51,1.0
2014-01-29,809.96,836.87,809.85,826.0,17984400.0,9981850000,17230.9695261,2193847870.17,61786.0,3184666.8,0.016602872580029793,0.03271186440677964,823.9857142857143,836.345,842.4760000000001,0.06802310766358043,-0.5992378914998162,812.51,771.39,45.971651507456485,2.5999448195848345,819.03,0.0
2014-01-31,818.43,831.87,812.6,829.92,17107900.0,10092900000,20066.4455241,2193847870.17,61999.0,3702735.0,0.013296216255814786,0.02321910545594754,828.2485714285714,836.2507142857141,846.5940000000002,0.06570763250436011,-0.4281774973093301,819.03,826.0,51.88744503186916,1.3516252931125337,832.58,1.0
2014-02-02,832.9,844.72,820.67,825.37,11300900.0,10279200000,19412.1049092,2193847870.17,50400.0,3654462.63,-0.008659828484950394,0.029138446999527567,816.6857142857143,832.4642857142857,847.822,0.05700580274822878,-0.42543737003462356,832.58,829.92,43.63854547484162,1.0120842370116634,823.83,0.0
2014-02-04,823.77,840.17,820.94,827.96,16609700.0,10174000000,18430.5939868,2193847870.17,65812.0,3428753.9,0.005013170192879501,0.023225759698536044,826.3842857142857,826.5842857142858,843.1136666666666,0.009875218684971997,0.19150508245995357,823.83,825.37,44.964280711584266,0.42379260886923475,811.91,0.0
2014-02-06,815.59,819.81,770.59,781.55,50108700.0,10079900000,21761.8906024,2621404453.06,69721.0,3259042.0,-0.037393307139953924,0.06297741667199784,819.0171428571429,821.2864285714286,837.7193333333332,0.017152165610565043,1.2374849855548757,811.91,827.96,44.39956845279261,-4.387118074337536,712.4,0.0
2014-02-08,699.57,721.82,661.87,673.92,38742600.0,8651930000,22804.3763798,2621404453.06,64069.0,3101609.0,-0.05401459854014601,0.08895714624881298,779.5628571428572,802.4035714285714,827.6106666666667,0.033248279690939825,-0.659085029434281,712.4,781.55,26.82077345785713,-21.904788117522457,682.9,1.0
2014-02-10,681.32,703.71,550.5,681.03,112758000.0,8431680000,19937.540492,2621404453.06,67622.0,2552270.0,-0.002738321862644666,0.2249680630809216,738.8100000000001,781.4935714285714,813.6606666666667,0.036310852340214445,1.8683282711885103,682.9,673.92,32.13523131672599,-33.054890590174296,672.17,0.0
2014-02-12,672.38,672.9,643.04,651.72,25367600.0,8326420000,21761.8906024,2621404453.06,62805.0,2794771.9,-0.03042385110909429,0.04581722211992882,693.67,759.0207142857142,800.9763333333334,0.03405652390527748,-0.6512814591203269,672.17,681.03,11.713532513181036,-41.560534583876915,605.24,0.0
2014-02-14,601.17,691.72,541.04,661.99,102506000.0,7449940000,24889.3479345,2621404453.06,76660.0,3220703.2,0.09376445707487946,0.2276167313705646,661.2814285714286,731.7550000000001,786.7450000000001,0.05397976460425924,1.6564148014543343,605.24,651.72,23.171549988816835,-48.41917062076823,650.92,0.0
2014-02-16,651.3,665.1,584.17,616.63,40061700.0,8077340000,25149.9693788,2621404453.06,56785.0,3015246.0,-0.052679284704725604,0.13124564163274582,648.5285714285714,703.8692857142858,773.9876666666667,0.05290919695322236,0.49992137540622705,650.92,661.99,20.04821213338691,-51.420754135114976,626.27,1.0
2014-02-18,627.16,645.76,612.54,626.6,20015100.0,7783430000,25980.5116973,3129573174.52,68333.0,2631807.23,0.0005269292797036584,0.05301627832748169,634.1957142857143,675.375,758.7180000000001,0.05411068173324439,-0.3735179226502736,626.27,616.63,21.459349132554706,-51.933752151608246,623.03,0.0
2014-02-20,623.09,627.73,556.14,556.14,46905000.0,7738580000,26602.7994026,3129573174.52,71666.0,2499200.3,-0.10736240630467231,0.12872657963822065,623.0828571428572,645.7828571428571,740.22,0.06177740951355253,2.3749946034624183,623.03,626.6,20.089700379501608,-55.96433002237586,574.16,1.0
2014-02-22,574.24,614.48,558.58,605.42,31254000.0,7136600000,25513.7959183,3129573174.52,59691.0,2483565.76,0.054444754075519075,0.09233259555350001,604.0357142857143,631.0157142857142,723.9516666666666,0.05481918740527292,-0.3393520348523825,574.16,556.14,39.245117126169696,-55.31037360972584,605.82,1.0
2014-02-24,606.04,607.61,538.7,546.32,57893900.0,7537080000,28314.0905923,3129573174.52,68496.0,2486835.0,-0.09821399095440886,0.12613486601259327,591.0699999999999,615.8878571428571,707.3336666666667,0.06198152012322496,0.8417370778510167,605.82,605.42,31.67260754809395,-55.40398292485793,538.71,0.0
2014-02-26,537.04,603.8,532.58,582.69,64642700.0,6683680000,28158.5186659,3129573174.52,71527.0,2657039.82,0.08163947207217248,0.12222622663852119,572.7514285714285,601.4242857142857,689.4913333333334,0.07266816199188858,-0.4882380417055908,538.71,546.32,41.14523204802587,-54.50263343659071,578.77,0.0
2014-02-28,579.7,584.14,545.17,549.26,28076100.0,7219990000,35659.9638678,3815723798.81,71658.0,2725128.55,-0.050987438879002034,0.07095000546189424,572.4271428571429,591.4814285714285,672.4753333333333,0.06049521434435582,0.09926470588235303,578.77,582.69,32.38538704334512,-51.90044107479446,565.61,1.0
2014-03-02,567.23,570.48,553.27,559.79,7950760.0,7069290000,28262.4181718,3815723798.81,59067.0,2091711.68,-0.010289775640459076,0.03074367173404319,560.1642857142858,581.3278571428572,655.0236666666666,0.05696039578525118,-0.574099131673818,565.61,549.26,40.424528301886795,-48.19752113740594,667.76,1.0
2014-03-04,668.24,696.22,655.68,666.78,55344600.0,8332950000,26365.6115831,3815723798.81,85916.0,2366891.73,-0.001467593147238544,0.06079966405711041,595.8085714285714,587.1614285714286,644.2433333333335,0.08126977191463552,-0.42383524765009073,667.76,559.79,55.076052352316935,-29.150634945062166,665.51,0.0
2014-03-06,664.52,669.77,649.79,663.86,16068100.0,8291650000,30728.2667371,3815723798.81,71619.0,2670129.28,-0.0024793015882556,0.030096707137046996,619.7957142857142,597.89,633.496,0.07889842663498066,-0.2846508977423994,665.51,666.78,66.40872532293443,-16.650247627250224,629.15,0.0
2014-03-08,629.66,635.14,604.46,617.45,18654200.0,7862010000,33194.1153025,3815723798.81,71019.0,2671683.0,-0.018596519113089016,0.049688233865090206,638.6142857142858,602.6771428571428,621.934,0.08041330092554007,-0.453769750635417,629.15,663.86,51.84866459722779,-14.245576666261627,636.96,1.0
2014-03-10,636.33,644.76,615.02,627.79,20639800.0,7950820000,31297.3087138,3815723798.81,66786.0,2574416.61,-0.014396508414971199,0.04737252903040828,643.9285714285714,610.7207142857143,617.8816666666667,0.025135872580093095,0.34055142402494076,636.96,617.45,63.84837667856534,-10.89706033812513,634.11,1.0
2014-03-12,631.91,648.03,629.51,632.1,18621200.0,7900600000,31866.3506904,3815723798.81,76019.0,2707735.7,-0.003169797038368727,0.029299161525075116,634.4885714285714,621.0642857142857,614.6243333333334,0.026000301489531242,0.5871468144044321,634.11,627.79,59.84694487624057,-8.240137808898567,638.14,1.0
2014-03-14,638.14,639.53,627.21,628.8,11913800.0,7983980000,29367.8475506,4250217919.87,68735.0,2220643.83,-0.014636286708245905,0.01959287531806606,630.7642857142857,630.9864285714285,612.726,0.018112611365339152,0.023970983850312377,638.14,632.1,67.08039855694896,-6.292209998127873,636.12,1.0
2014-03-16,636.5,637.52,628.11,631.11,5277290.0,7968200000,33382.1576475,4250217919.87,58730.0,2514362.4,-0.007875872476891144,0.014910237518023749,632.5957142857143,641.1171428571428,612.726,0.011623451618249549,0.21538295010686115,636.12,628.8,65.99103139013454,-4.790180038953963,622.37,0.0
2014-03-18,621.84,622.39,603.8,614.83,24011500.0,7789810000,30635.5244233,4250217919.87,57881.0,2279145.0,-0.0121149798351462,0.03023600019517595,629.0671428571429,634.1642857142858,611.7143333333333,0.010948604701161085,0.6392116437514508,622.37,631.11,30.069822757615313,-5.824200587350674,609.89,0.0
2014-03-20,609.75,609.75,587.49,588.77,20572900.0,7642910000,35283.6729565,4250217919.87,72117.0,2470920.0,-0.03462919542868392,0.037807632861728675,618.8414285714287,624.8278571428572,609.9073333333333,0.013608853262509575,0.4458531580094034,609.89,614.83,25.53593536196,-9.077289398646144,571.49,0.0
2014-03-22,571.18,572.55,554.39,565.04,17360700.0,7164770000,37185.1882655,4250217919.87,69139.0,2458598.0,-0.011286286724177197,0.032139317570437434,600.5,616.9657142857143,608.486,0.010746055465469464,-0.5480643826095106,571.49,588.77,29.964064530927445,-14.98360584637146,561.27,0.0
2014-03-24,562.51,586.56,551.77,583.41,22706900.0,7061380000,42044.6162775,4250217919.87,67382.0,2852564.0,0.03944625581271044,0.059632162630054275,584.9571428571428,608.3892857142856,607.3226666666667,0.02394177953832017,1.444651393135524,561.27,565.04,32.66677081705984,-17.17188695589266,583.92,1.0
2014-03-26,583.48,590.03,570.96,580.83,16401100.0,7329720000,39324.9976022,5006860589.21,69897.0,2322300.5,-0.00529182079736934,0.03283232615395199,576.39,601.1421428571429,607.743,0.024162279393360537,0.16982760465331914,583.92,583.41,29.207559412766642,-16.610000763603125,471.24,0.0
2014-03-28,477.14,526.02,473.23,495.67,58828300.0,5997850000,45547.3073494,5006860589.21,69155.0,2307261.0,0.05184194890077243,0.10650231000464011,548.7685714285715,579.7114285714285,602.5933333333334,0.07957660683529988,-0.05459346183391345,471.24,580.83,22.485843012441634,-29.328279291343847,491.17,0.0
2014-03-30,492.37,492.37,444.18,460.27,42958300.0,6193560000,37084.9660932,5006860589.21,55333.0,1677089.7,-0.06291100840849406,0.10469941556043191,523.7871428571428,557.155,596.707,0.08123730116678758,2.8537646562783143,491.17,495.67,17.76603773584904,-37.521063793401595,457.0,0.0
2014-04-01,457.0,495.34,457.0,478.38,35685800.0,5752280000,44551.7377898,5006860589.21,64692.0,2151561.37,0.046783369803063524,0.08014549103223374,490.65142857142854,535.5964285714285,590.3729999999999,0.08190183538743895,0.26303532243222194,457.0,460.27,25.042982038994765,-41.71771688478441,437.14,0.0
2014-04-03,436.44,449.56,414.89,444.72,40765500.0,5497550000,51769.6170966,5006860589.21,67292.0,2326614.03,0.017339982614265503,0.07795916531750317,466.3357142857143,512.967857142857,575.2836666666666,0.05220418805043617,-0.1789029076934232,437.14,478.38,25.677911727957337,-46.49227754051765,447.53,1.0
2014-04-05,446.68,463.57,444.2,461.91,13404500.0,5630890000,54454.1688771,6119726089.13,59610.0,2027406.08,0.0321319241168192,0.04193457599965362,455.2785714285714,496.7471428571429,561.286,0.049312926287102994,-0.4153017382390788,447.53,444.72,32.19379122207259,-45.521141755155156,460.5,0.0
2014-04-07,461.47,462.56,445.12,449.42,15616600.0,5821160000,44415.1321567,6119726089.13,62222.0,1640071.62,-0.02406080347448425,0.038805571625650834,454.22857142857146,479.9785714285714,550.0633333333333,0.043903753174669734,0.5248501181479095,460.5,461.91,25.74139117210416,-43.265000300055135,453.09,1.0
2014-04-09,453.18,455.73,441.93,442.73,13204400.0,5719730000,44110.9189228,6119726089.13,64278.0,1611997.8,-0.022865214416561752,0.03117023919770517,451.4142857142857,460.7692857142857,537.7656666666667,0.02050565413139086,0.2090169938470554,453.09,449.42,25.90718771807397,-41.1271749655221,365.18,0.0
2014-04-11,363.71,429.77,351.27,420.95,62562800.0,4593400000,45327.7718586,6119726089.13,66874.0,1600254.61,0.15271920696642738,0.18648295522033495,436.2542857142857,447.8564285714286,521.763,0.09666788259888179,0.11982644898806649,365.18,442.73,36.93249387897866,-45.30973307501836,421.12,1.0
2014-04-13,421.46,427.4,395.25,414.06,22493500.0,5326230000,60538.4335561,6119726089.13,49420.0,2018520.0,-0.016764817629179363,0.07764575182340717,423.79285714285714,439.5521428571429,507.371,0.09538996644309182,0.1699217226224221,421.12,420.95,41.03519186745819,-43.09478132560207,458.79,1.0
2014-04-15,458.37,519.0,453.54,515.59,49561000.0,5797070000,59321.5806203,6119726089.13,74882.0,2396149.81,0.12380391900433763,0.1269613452549506,434.06,442.33785714285716,497.6093333333334,0.11377634345869818,-0.02304741554340417,458.79,414.06,55.56020441708258,-29.576052139743126,527.39,1.0
